cmc_id,symbol,month_end,staked_native,circulating_supply,staking_ratio,source,flag
14101,RON,2023-02-28,,176966513.33354357,,ronin.drpc.org archive: sum(Staking.getManyStakingTotals(getValidatorCandidates)) at month-end blocks; contract identities from axieinfinity/ronin-dpos-contracts deployments,metric = stake on active validator candidates; contract native balance (stake + pending/revoked undelegations) recorded as superset cross-check ~1.0-1.3x
14101,RON,2023-03-31,20378599.48460937,214611302.9777076,0.09495585368458512,ronin.drpc.org archive: sum(Staking.getManyStakingTotals(getValidatorCandidates)) at month-end blocks; contract identities from axieinfinity/ronin-dpos-contracts deployments,metric = stake on active validator candidates; contract native balance (stake + pending/revoked undelegations) recorded as superset cross-check ~1.0-1.3x
14101,RON,2023-04-30,126522800.35511112,213164609.47696155,0.5935450573411694,ronin.drpc.org archive: sum(Staking.getManyStakingTotals(getValidatorCandidates)) at month-end blocks; contract identities from axieinfinity/ronin-dpos-contracts deployments,metric = stake on active validator candidates; contract native balance (stake + pending/revoked undelegations) recorded as superset cross-check ~1.0-1.3x
14101,RON,2023-05-31,135477044.02920482,219599885.1971805,0.6169267525233854,ronin.drpc.org archive: sum(Staking.getManyStakingTotals(getValidatorCandidates)) at month-end blocks; contract identities from axieinfinity/ronin-dpos-contracts deployments,metric = stake on active validator candidates; contract native balance (stake + pending/revoked undelegations) recorded as superset cross-check ~1.0-1.3x
14101,RON,2023-06-30,140161462.91069958,227969767.80011183,0.614824782528163,ronin.drpc.org archive: sum(Staking.getManyStakingTotals(getValidatorCandidates)) at month-end blocks; contract identities from axieinfinity/ronin-dpos-contracts deployments,metric = stake on active validator candidates; contract native balance (stake + pending/revoked undelegations) recorded as superset cross-check ~1.0-1.3x
14101,RON,2023-07-31,144130868.4134242,242049899.483284,0.5954593194259017,ronin.drpc.org archive: sum(Staking.getManyStakingTotals(getValidatorCandidates)) at month-end blocks; contract identities from axieinfinity/ronin-dpos-contracts deployments,metric = stake on active validator candidates; contract native balance (stake + pending/revoked undelegations) recorded as superset cross-check ~1.0-1.3x
14101,RON,2023-08-31,146699746.58482173,249889300.95516863,0.587058933792209,ronin.drpc.org archive: sum(Staking.getManyStakingTotals(getValidatorCandidates)) at month-end blocks; contract identities from axieinfinity/ronin-dpos-contracts deployments,metric = stake on active validator candidates; contract native balance (stake + pending/revoked undelegations) recorded as superset cross-check ~1.0-1.3x
14101,RON,2023-09-30,148141980.95349073,255525167.6926941,0.5797549505246891,ronin.drpc.org archive: sum(Staking.getManyStakingTotals(getValidatorCandidates)) at month-end blocks; contract identities from axieinfinity/ronin-dpos-contracts deployments,metric = stake on active validator candidates; contract native balance (stake + pending/revoked undelegations) recorded as superset cross-check ~1.0-1.3x
14101,RON,2023-10-31,155151082.56443837,265827678.20589688,0.5836528521468185,ronin.drpc.org archive: sum(Staking.getManyStakingTotals(getValidatorCandidates)) at month-end blocks; contract identities from axieinfinity/ronin-dpos-contracts deployments,metric = stake on active validator candidates; contract native balance (stake + pending/revoked undelegations) recorded as superset cross-check ~1.0-1.3x
14101,RON,2023-11-30,162289397.19536513,274087793.5508562,0.5921073503233292,ronin.drpc.org archive: sum(Staking.getManyStakingTotals(getValidatorCandidates)) at month-end blocks; contract identities from axieinfinity/ronin-dpos-contracts deployments,metric = stake on active validator candidates; contract native balance (stake + pending/revoked undelegations) recorded as superset cross-check ~1.0-1.3x
