cmc_id,symbol,month_end,staked_native,circulating_supply,staking_ratio,source,flag
23254,CORE,2023-01-31,1000000.0,,,core-archiveRPC(ankr/drpc) eth_call: sum stake of ValidatorSet.getValidatorOps() actives at month-end block; validated == staking-api.coredao.org stakedCoreAmount,read PledgeAgent.agentsMap[word0] (legacy pre-StakeHub) at block 646063; active-validator staked CORE (excludes inactive candidates); CORE-only (BTC/hash dual-staking excluded)
23254,CORE,2023-02-28,39948998.897183076,49295008.0,0.8104065810717198,core-archiveRPC(ankr/drpc) eth_call: sum stake of ValidatorSet.getValidatorOps() actives at month-end block; validated == staking-api.coredao.org stakedCoreAmount,read PledgeAgent.agentsMap[word0] (legacy pre-StakeHub) at block 1451728; active-validator staked CORE (excludes inactive candidates); CORE-only (BTC/hash dual-staking excluded)
23254,CORE,2023-03-31,48543449.395405605,111445479.91398,0.4355802445543257,core-archiveRPC(ankr/drpc) eth_call: sum stake of ValidatorSet.getValidatorOps() actives at month-end block; validated == staking-api.coredao.org stakedCoreAmount,read PledgeAgent.agentsMap[word0] (legacy pre-StakeHub) at block 2343314; active-validator staked CORE (excludes inactive candidates); CORE-only (BTC/hash dual-staking excluded)
23254,CORE,2023-04-30,59317612.35200637,102439849.34752607,0.5790482193191442,core-archiveRPC(ankr/drpc) eth_call: sum stake of ValidatorSet.getValidatorOps() actives at month-end block; validated == staking-api.coredao.org stakedCoreAmount,read PledgeAgent.agentsMap[word0] (legacy pre-StakeHub) at block 3206343; active-validator staked CORE (excludes inactive candidates); CORE-only (BTC/hash dual-staking excluded)
23254,CORE,2023-05-31,78002281.942634,123671674.18973017,0.63072067596471,core-archiveRPC(ankr/drpc) eth_call: sum stake of ValidatorSet.getValidatorOps() actives at month-end block; validated == staking-api.coredao.org stakedCoreAmount,read PledgeAgent.agentsMap[word0] (legacy pre-StakeHub) at block 4097260; active-validator staked CORE (excludes inactive candidates); CORE-only (BTC/hash dual-staking excluded)
23254,CORE,2023-06-30,86446552.35472031,144643119.5657652,0.5976540924604123,core-archiveRPC(ankr/drpc) eth_call: sum stake of ValidatorSet.getValidatorOps() actives at month-end block; validated == staking-api.coredao.org stakedCoreAmount,read PledgeAgent.agentsMap[word0] (legacy pre-StakeHub) at block 4960082; active-validator staked CORE (excludes inactive candidates); CORE-only (BTC/hash dual-staking excluded)
23254,CORE,2023-07-31,86299642.60267235,150462895.4785604,0.5735609588542664,core-archiveRPC(ankr/drpc) eth_call: sum stake of ValidatorSet.getValidatorOps() actives at month-end block; validated == staking-api.coredao.org stakedCoreAmount,read PledgeAgent.agentsMap[word0] (legacy pre-StakeHub) at block 5852585; active-validator staked CORE (excludes inactive candidates); CORE-only (BTC/hash dual-staking excluded)
23254,CORE,2023-08-31,91380654.0247136,156238959.50939867,0.5848775127001312,core-archiveRPC(ankr/drpc) eth_call: sum stake of ValidatorSet.getValidatorOps() actives at month-end block; validated == staking-api.coredao.org stakedCoreAmount,read PledgeAgent.agentsMap[word0] (legacy pre-StakeHub) at block 6745259; active-validator staked CORE (excludes inactive candidates); CORE-only (BTC/hash dual-staking excluded)
23254,CORE,2023-09-30,87584053.6593567,161461169.57429755,0.54244654544667,core-archiveRPC(ankr/drpc) eth_call: sum stake of ValidatorSet.getValidatorOps() actives at month-end block; validated == staking-api.coredao.org stakedCoreAmount,read PledgeAgent.agentsMap[word0] (legacy pre-StakeHub) at block 7609105; active-validator staked CORE (excludes inactive candidates); CORE-only (BTC/hash dual-staking excluded)
23254,CORE,2023-10-31,88432427.02992982,166981935.90446943,0.5295927763139727,core-archiveRPC(ankr/drpc) eth_call: sum stake of ValidatorSet.getValidatorOps() actives at month-end block; validated == staking-api.coredao.org stakedCoreAmount,read PledgeAgent.agentsMap[word0] (legacy pre-StakeHub) at block 8500858; active-validator staked CORE (excludes inactive candidates); CORE-only (BTC/hash dual-staking excluded)
23254,CORE,2023-11-30,89927641.78236113,178544114.99865046,0.5036718336140111,core-archiveRPC(ankr/drpc) eth_call: sum stake of ValidatorSet.getValidatorOps() actives at month-end block; validated == staking-api.coredao.org stakedCoreAmount,read PledgeAgent.agentsMap[word0] (legacy pre-StakeHub) at block 9364671; active-validator staked CORE (excludes inactive candidates); CORE-only (BTC/hash dual-staking excluded)
