cmc_id,symbol,month_end,staked_native,circulating_supply,staking_ratio,source,flag
4066,CHZ,2023-07-31,243351777.39907372,7108896058.022483,0.03423200668751487,"chiliz-chain-pubRPC eth_getBalance(0x...1000) at month-end blocks (native CHZ balance of the CC2 staking contract; anchor 2,416,757,292 CHZ confirmed 2026-07-25 vs staking.chiliz.com)",native-balance series; CC2 launched ~2023-Q3; pre-launch months = NaN; balance includes any queued-but-not-yet-withdrawn undelegations if any
4066,CHZ,2023-08-31,247925048.94287285,7401879904.822483,0.0334948759140694,"chiliz-chain-pubRPC eth_getBalance(0x...1000) at month-end blocks (native CHZ balance of the CC2 staking contract; anchor 2,416,757,292 CHZ confirmed 2026-07-25 vs staking.chiliz.com)",native-balance series; CC2 launched ~2023-Q3; pre-launch months = NaN; balance includes any queued-but-not-yet-withdrawn undelegations if any
4066,CHZ,2023-09-30,241259342.3308146,7466079838.822483,0.0323140587214595,"chiliz-chain-pubRPC eth_getBalance(0x...1000) at month-end blocks (native CHZ balance of the CC2 staking contract; anchor 2,416,757,292 CHZ confirmed 2026-07-25 vs staking.chiliz.com)",native-balance series; CC2 launched ~2023-Q3; pre-launch months = NaN; balance includes any queued-but-not-yet-withdrawn undelegations if any
4066,CHZ,2023-10-31,208579037.01262042,7565079838.822483,0.027571293556247,"chiliz-chain-pubRPC eth_getBalance(0x...1000) at month-end blocks (native CHZ balance of the CC2 staking contract; anchor 2,416,757,292 CHZ confirmed 2026-07-25 vs staking.chiliz.com)",native-balance series; CC2 launched ~2023-Q3; pre-launch months = NaN; balance includes any queued-but-not-yet-withdrawn undelegations if any
4066,CHZ,2023-11-30,222250725.9122804,7655073479.973704,0.029033127702001348,"chiliz-chain-pubRPC eth_getBalance(0x...1000) at month-end blocks (native CHZ balance of the CC2 staking contract; anchor 2,416,757,292 CHZ confirmed 2026-07-25 vs staking.chiliz.com)",native-balance series; CC2 launched ~2023-Q3; pre-launch months = NaN; balance includes any queued-but-not-yet-withdrawn undelegations if any
4066,CHZ,2023-12-31,224099114.9494261,7749332979.973704,0.028918503763944153,"chiliz-chain-pubRPC eth_getBalance(0x...1000) at month-end blocks (native CHZ balance of the CC2 staking contract; anchor 2,416,757,292 CHZ confirmed 2026-07-25 vs staking.chiliz.com)",native-balance series; CC2 launched ~2023-Q3; pre-launch months = NaN; balance includes any queued-but-not-yet-withdrawn undelegations if any
4066,CHZ,2024-01-31,227025952.8327549,8888290621.684032,0.02554213880888394,"chiliz-chain-pubRPC eth_getBalance(0x...1000) at month-end blocks (native CHZ balance of the CC2 staking contract; anchor 2,416,757,292 CHZ confirmed 2026-07-25 vs staking.chiliz.com)",native-balance series; CC2 launched ~2023-Q3; pre-launch months = NaN; balance includes any queued-but-not-yet-withdrawn undelegations if any
4066,CHZ,2024-02-29,209113902.84065178,8888290621.684032,0.023526897548837317,"chiliz-chain-pubRPC eth_getBalance(0x...1000) at month-end blocks (native CHZ balance of the CC2 staking contract; anchor 2,416,757,292 CHZ confirmed 2026-07-25 vs staking.chiliz.com)",native-balance series; CC2 launched ~2023-Q3; pre-launch months = NaN; balance includes any queued-but-not-yet-withdrawn undelegations if any
4066,CHZ,2024-03-31,238573627.36654377,8888289967.124962,0.026841341613398517,"chiliz-chain-pubRPC eth_getBalance(0x...1000) at month-end blocks (native CHZ balance of the CC2 staking contract; anchor 2,416,757,292 CHZ confirmed 2026-07-25 vs staking.chiliz.com)",native-balance series; CC2 launched ~2023-Q3; pre-launch months = NaN; balance includes any queued-but-not-yet-withdrawn undelegations if any
4066,CHZ,2024-04-30,251336860.33407813,8888289967.124962,0.028277302075393074,"chiliz-chain-pubRPC eth_getBalance(0x...1000) at month-end blocks (native CHZ balance of the CC2 staking contract; anchor 2,416,757,292 CHZ confirmed 2026-07-25 vs staking.chiliz.com)",native-balance series; CC2 launched ~2023-Q3; pre-launch months = NaN; balance includes any queued-but-not-yet-withdrawn undelegations if any
