cmc_id,symbol,month_end,staked_native,circulating_supply,staking_ratio,source,flag
1839,BNB,2017-07-31,,100000000.0,,bscscan(etherscanV2/56):StakeHub Delegated-Undelegated+RewardDistributed replay; cross-checked vs live sum(totalPooledBNB) all validators,post-BC-fusion window only (2024-07+); earlier staking lived on the retired Beacon Chain = documented gap; replay drift ~0% vs on-chain state
1839,BNB,2017-08-31,,100000000.0,,bscscan(etherscanV2/56):StakeHub Delegated-Undelegated+RewardDistributed replay; cross-checked vs live sum(totalPooledBNB) all validators,post-BC-fusion window only (2024-07+); earlier staking lived on the retired Beacon Chain = documented gap; replay drift ~0% vs on-chain state
1839,BNB,2017-09-30,,100000000.0,,bscscan(etherscanV2/56):StakeHub Delegated-Undelegated+RewardDistributed replay; cross-checked vs live sum(totalPooledBNB) all validators,post-BC-fusion window only (2024-07+); earlier staking lived on the retired Beacon Chain = documented gap; replay drift ~0% vs on-chain state
1839,BNB,2017-10-31,,99014000.0,,bscscan(etherscanV2/56):StakeHub Delegated-Undelegated+RewardDistributed replay; cross-checked vs live sum(totalPooledBNB) all validators,post-BC-fusion window only (2024-07+); earlier staking lived on the retired Beacon Chain = documented gap; replay drift ~0% vs on-chain state
1839,BNB,2017-11-30,,99014000.0,,bscscan(etherscanV2/56):StakeHub Delegated-Undelegated+RewardDistributed replay; cross-checked vs live sum(totalPooledBNB) all validators,post-BC-fusion window only (2024-07+); earlier staking lived on the retired Beacon Chain = documented gap; replay drift ~0% vs on-chain state
1839,BNB,2017-12-31,,99014000.0,,bscscan(etherscanV2/56):StakeHub Delegated-Undelegated+RewardDistributed replay; cross-checked vs live sum(totalPooledBNB) all validators,post-BC-fusion window only (2024-07+); earlier staking lived on the retired Beacon Chain = documented gap; replay drift ~0% vs on-chain state
1839,BNB,2018-01-31,,99014000.0,,bscscan(etherscanV2/56):StakeHub Delegated-Undelegated+RewardDistributed replay; cross-checked vs live sum(totalPooledBNB) all validators,post-BC-fusion window only (2024-07+); earlier staking lived on the retired Beacon Chain = documented gap; replay drift ~0% vs on-chain state
1839,BNB,2018-02-28,,99014000.0,,bscscan(etherscanV2/56):StakeHub Delegated-Undelegated+RewardDistributed replay; cross-checked vs live sum(totalPooledBNB) all validators,post-BC-fusion window only (2024-07+); earlier staking lived on the retired Beacon Chain = documented gap; replay drift ~0% vs on-chain state
1839,BNB,2018-03-31,,99014000.0,,bscscan(etherscanV2/56):StakeHub Delegated-Undelegated+RewardDistributed replay; cross-checked vs live sum(totalPooledBNB) all validators,post-BC-fusion window only (2024-07+); earlier staking lived on the retired Beacon Chain = documented gap; replay drift ~0% vs on-chain state
1839,BNB,2018-04-30,,114041290.1095,,bscscan(etherscanV2/56):StakeHub Delegated-Undelegated+RewardDistributed replay; cross-checked vs live sum(totalPooledBNB) all validators,post-BC-fusion window only (2024-07+); earlier staking lived on the retired Beacon Chain = documented gap; replay drift ~0% vs on-chain state
